Source,Year,Temp increase next year,Increase Temp,Increase Temp_Before,PPMIncrease_perYear,Uncertainty
GCAG,1959,1.0204,1.0596,1.1095,96,31
GCAG,1960,1.0775,1.0204,1.0596,71,27
GCAG,1961,1.0888,1.0775,1.0204,78,27
GCAG,1962,1.1068,1.0888,1.0775,56,27
GCAG,1963,0.8505,1.1068,1.0888,57,28
GCAG,1964,0.922,0.8505,1.1068,49,27
GCAG,1965,0.9773,0.922,0.8505,110,26
GCAG,1966,0.9869,0.9773,0.922,110,28
GCAG,1967,0.9704,0.9869,0.9773,61,34
GCAG,1968,1.0929,0.9704,0.9869,99,32
GCAG,1969,1.0372,1.0929,0.9704,132,29
GCAG,1970,0.9217,1.0372,1.0929,113,32
GCAG,1971,1.0264,0.9217,1.0372,73,30
GCAG,1972,1.1641,1.0264,0.9217,147,31
GCAG,1973,0.9281,1.1641,1.0264,146,31
GCAG,1974,1.0034,0.9281,1.1641,68,31
GCAG,1975,0.9208,1.0034,0.9281,123,27
GCAG,1976,1.1978,0.9208,1.0034,97,28
GCAG,1977,1.1123,1.1978,0.9208,192,29
GCAG,1978,1.2273,1.1123,1.1978,129,24
GCAG,1979,1.2637,1.2273,1.1123,214,26
GCAG,1980,1.2999,1.2637,1.2273,171,10
GCAG,1981,1.1815,1.2999,1.2637,116,6
GCAG,1982,1.3411,1.1815,1.2999,98,9
GCAG,1983,1.149,1.3411,1.1815,185,9
GCAG,1984,1.1342,1.149,1.3411,122,12
GCAG,1985,1.2296,1.1342,1.149,165,9
GCAG,1986,1.3696,1.2296,1.1342,101,11
GCAG,1987,1.3757,1.3696,1.2296,265,9
GCAG,1988,1.297,1.3757,1.3696,217,10
GCAG,1989,1.4328,1.297,1.3757,148,9
GCAG,1990,1.4055,1.4328,1.297,120,9
GCAG,1991,1.2571,1.4055,1.4328,74,9
GCAG,1992,1.2853,1.2571,1.4055,71,9
GCAG,1993,1.3409,1.2853,1.2571,124,8
GCAG,1994,1.4577,1.3409,1.2853,166,12
GCAG,1995,1.3228,1.4577,1.3409,199,12
GCAG,1996,1.5187,1.3228,1.4577,106,9
GCAG,1997,1.6344,1.5187,1.3228,198,8
GCAG,1998,1.4438,1.6344,1.5187,284,12
GCAG,1999,1.4262,1.4438,1.6344,134,8
GCAG,2000,1.5473,1.4262,1.4438,124,11
GCAG,2001,1.6023,1.5473,1.4262,184,9
GCAG,2002,1.6134,1.6023,1.5473,238,7
GCAG,2003,1.5783,1.6134,1.6023,230,11
GCAG,2004,1.6585,1.5783,1.6134,155,5
GCAG,2005,1.6125,1.6585,1.5783,246,8
GCAG,2006,1.61,1.6125,1.6585,178,7
GCAG,2007,1.5419,1.61,1.6125,212,6
GCAG,2008,1.6367,1.5419,1.61,177,5
GCAG,2009,1.7014,1.6367,1.5419,158,6
GCAG,2010,1.5788,1.7014,1.6367,241,7
GCAG,2011,1.624,1.5788,1.7014,169,8
GCAG,2012,1.6679,1.624,1.5788,241,6
GCAG,2013,1.7408,1.6679,1.624,243,6
GCAG,2014,1.8998,1.7408,1.6679,205,8
GCAG,2015,1.9363,1.8998,1.7408,294,7
GCAG,2016,1.84,1.9363,1.8998,283,8
